--- Installed packages inside container: ---
Package                            Version
---------------------------------- -------
grpcio                             1.74.0
grpcio-health-checking             1.74.0
grpcio-tools                       1.74.0
importlib_metadata                 8.7.0
opentelemetry-api                  1.36.0
opentelemetry-exporter-prometheus  0.57b0
opentelemetry-instrumentation      0.57b0
opentelemetry-instrumentation-grpc 0.57b0
opentelemetry-sdk                  1.36.0
opentelemetry-semantic-conventions 0.57b0
packaging                          25.0
pip                                23.0.1
prometheus_client                  0.22.1
protobuf                           6.31.1
setuptools                         58.1.0
typing_extensions                  4.14.1
wheel                              0.45.1
wrapt                              1.17.2
zipp                               3.23.0

[notice] A new release of pip is available: 23.0.1 -> 25.2
[notice] To update, run: pip install --upgrade pip
--- Starting server ---
2025-07-31 17:05:05,477 - root - INFO - Prometheus metrics server started on port 9464.
2025-07-31 17:05:05,498 - root - INFO - gRPC server started on port 50051 with max_connection_age=600000ms, grace=60000ms.
2025-07-31 17:05:51,148 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 1.0
2025-07-31 17:05:51,149 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 3.0
2025-07-31 17:05:51,149 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 3.0
2025-07-31 17:05:51,150 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 4.0
2025-07-31 17:06:42,472 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 5.0
2025-07-31 17:06:42,473 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 7.0
2025-07-31 17:06:42,474 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 8.0
2025-07-31 17:06:42,474 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 9.0
2025-07-31 17:06:42,474 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 9.0
2025-07-31 17:08:36,995 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 10.0
2025-07-31 17:08:36,997 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 12.0
2025-07-31 17:08:36,998 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 13.0
2025-07-31 17:08:36,998 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 14.0
2025-07-31 17:08:36,999 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 15.0
2025-07-31 17:08:36,999 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 15.0
2025-07-31 17:12:44,053 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 16.0
2025-07-31 17:12:44,054 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 18.0
2025-07-31 17:12:44,054 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 18.0
2025-07-31 17:12:44,055 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 19.0
2025-07-31 17:15:13,403 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 20.0
2025-07-31 17:15:13,405 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 21.0
2025-07-31 17:15:13,406 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 23.0
2025-07-31 17:15:13,406 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 23.0
2025-07-31 17:15:13,406 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 24.0
2025-07-31 17:16:11,893 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 26.0
2025-07-31 17:16:11,893 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 26.0
2025-07-31 17:16:11,895 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 28.0
2025-07-31 17:16:11,895 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 29.0
2025-07-31 17:16:11,895 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 29.0
2025-07-31 17:16:28,169 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 28.0
2025-07-31 17:16:41,091 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3234 messages.
2025-07-31 17:16:41,091 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 27.0
2025-07-31 17:16:41,092 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3217 messages.
2025-07-31 17:16:41,092 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 26.0
2025-07-31 17:16:41,092 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3246 messages.
2025-07-31 17:16:41,092 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 25.0
2025-07-31 17:17:06,002 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream closed normally by client. Processed 3106 messages.
2025-07-31 17:17:06,002 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream finished. Active streams: 24.0
2025-07-31 17:17:17,789 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 26.0
2025-07-31 17:17:17,790 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 26.0
2025-07-31 17:17:17,791 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 27.0
2025-07-31 17:17:17,792 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 29.0
2025-07-31 17:17:17,793 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 30.0
2025-07-31 17:17:17,793 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 30.0
2025-07-31 17:17:24,451 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream closed normally by client. Processed 3199 messages.
2025-07-31 17:17:24,451 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream finished. Active streams: 29.0
2025-07-31 17:17:35,962 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 30.0
2025-07-31 17:17:35,965 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 32.0
2025-07-31 17:17:35,965 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 32.0
2025-07-31 17:17:35,966 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 34.0
2025-07-31 17:17:35,966 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 34.0
2025-07-31 17:17:37,378 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 35.0
2025-07-31 17:17:37,380 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 36.0
2025-07-31 17:17:37,381 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 37.0
2025-07-31 17:17:37,381 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 38.0
2025-07-31 17:17:52,936 - root - INFO - [Client: grpc-client-vm-6, Channel: 2] Stream opened. Active streams: 39.0
2025-07-31 17:17:52,937 - root - INFO - [Client: grpc-client-vm-6, Channel: 2] Stream opened. Active streams: 40.0
2025-07-31 17:17:52,938 - root - INFO - [Client: grpc-client-vm-6, Channel: 2] Stream opened. Active streams: 42.0
2025-07-31 17:17:52,938 - root - INFO - [Client: grpc-client-vm-6, Channel: 2] Stream opened. Active streams: 43.0
