--- Installed packages inside container: ---
Package                            Version
---------------------------------- -------
grpcio                             1.74.0
grpcio-health-checking             1.74.0
grpcio-tools                       1.74.0
importlib_metadata                 8.7.0
opentelemetry-api                  1.36.0
opentelemetry-exporter-prometheus  0.57b0
opentelemetry-instrumentation      0.57b0
opentelemetry-instrumentation-grpc 0.57b0
opentelemetry-sdk                  1.36.0
opentelemetry-semantic-conventions 0.57b0
packaging                          25.0
pip                                23.0.1
prometheus_client                  0.22.1
protobuf                           6.31.1
setuptools                         58.1.0
typing_extensions                  4.14.1
wheel                              0.45.1
wrapt                              1.17.2
zipp                               3.23.0

[notice] A new release of pip is available: 23.0.1 -> 25.2
[notice] To update, run: pip install --upgrade pip
--- Starting server ---
2025-07-31 17:05:05,476 - root - INFO - Prometheus metrics server started on port 9464.
2025-07-31 17:05:05,498 - root - INFO - gRPC server started on port 50051 with max_connection_age=600000ms, grace=60000ms.
2025-07-31 17:05:51,148 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 1.0
2025-07-31 17:05:51,150 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 3.0
2025-07-31 17:05:51,151 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 4.0
2025-07-31 17:05:51,151 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 5.0
2025-07-31 17:05:51,151 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 6.0
2025-07-31 17:05:51,152 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 6.0
2025-07-31 17:06:42,475 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 7.0
2025-07-31 17:06:42,476 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 9.0
2025-07-31 17:06:42,476 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 9.0
2025-07-31 17:06:42,476 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 10.0
2025-07-31 17:06:42,477 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 11.0
2025-07-31 17:08:36,996 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 12.0
2025-07-31 17:08:36,997 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 14.0
2025-07-31 17:08:36,998 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 15.0
2025-07-31 17:08:36,998 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 15.0
2025-07-31 17:12:44,055 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 17.0
2025-07-31 17:12:44,056 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 17.0
2025-07-31 17:12:44,057 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 19.0
2025-07-31 17:12:44,057 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 19.0
2025-07-31 17:12:44,057 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 21.0
2025-07-31 17:12:44,058 - root - INFO - [Client: grpc-client-vm-5, Channel: 0] Stream opened. Active streams: 21.0
2025-07-31 17:15:13,403 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 23.0
2025-07-31 17:15:13,403 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 23.0
2025-07-31 17:15:13,404 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 25.0
2025-07-31 17:15:13,405 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 25.0
2025-07-31 17:15:13,405 - root - INFO - [Client: grpc-client-vm-6, Channel: 1] Stream opened. Active streams: 26.0
2025-07-31 17:16:11,891 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 27.0
2025-07-31 17:16:11,892 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 29.0
2025-07-31 17:16:11,893 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 30.0
2025-07-31 17:16:11,893 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 30.0
2025-07-31 17:16:11,894 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 31.0
2025-07-31 17:16:24,461 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3168 messages.
2025-07-31 17:16:24,461 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 30.0
2025-07-31 17:16:24,462 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3200 messages.
2025-07-31 17:16:24,462 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 29.0
2025-07-31 17:16:24,463 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 28.0
2025-07-31 17:16:47,319 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream closed normally by client. Processed 3028 messages.
2025-07-31 17:16:47,320 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream finished. Active streams: 27.0
2025-07-31 17:16:49,227 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3307 messages.
2025-07-31 17:16:49,227 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 26.0
2025-07-31 17:16:49,228 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3306 messages.
2025-07-31 17:16:49,228 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 25.0
2025-07-31 17:17:03,053 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream closed normally by client. Processed 3387 messages.
2025-07-31 17:17:03,053 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream finished. Active streams: 24.0
2025-07-31 17:17:17,789 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 26.0
2025-07-31 17:17:17,790 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 26.0
2025-07-31 17:17:17,793 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 28.0
2025-07-31 17:17:17,793 - root - INFO - [Client: grpc-client-vm-4, Channel: 1] Stream opened. Active streams: 28.0
2025-07-31 17:17:26,913 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream closed normally by client. Processed 3201 messages.
2025-07-31 17:17:26,913 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream finished. Active streams: 27.0
2025-07-31 17:17:26,914 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream closed normally by client. Processed 3230 messages.
2025-07-31 17:17:26,914 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream finished. Active streams: 26.0
2025-07-31 17:17:35,965 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 28.0
2025-07-31 17:17:35,965 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 28.0
2025-07-31 17:17:35,965 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 29.0
2025-07-31 17:17:35,966 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 31.0
2025-07-31 17:17:35,966 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 31.0
2025-07-31 17:17:37,381 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 32.0
2025-07-31 17:17:37,383 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 34.0
